id,name,unit,keyword,ancestry
180,春巻きの皮,枚,"ハルマキ,ﾊﾙﾏｷ,皮",13
181,春雨,g,"ハルサメ,ﾊﾙｻﾒ",13
182,かつお節,g,"カツオ節,鰹節,ｶﾂｵﾌﾞｼ",13
183,天かす,g,"天カス,天ｶｽ",13
184,薄口醤油,mL,しょうゆ,14
185,濃口醤油,mL,しょうゆ,14
186,料理酒,mL,"酒,さけ,ｻｹ,紹興酒",14
187,本みりん,mL,"味醂,ミリン,ﾐﾘﾝ",14
188,酢,mL,米酢,14
189,砂糖,g,"三温糖,さとう,サトウ,ｻﾄｳ",14
190,グラニュー糖,g,ｸﾞﾗﾆｭｰ糖,14
191,塩,g,"しお,ｼｵ,シオ",14
192,胡椒,g,"こしょう,コショウ,ｺｼｮｳ",14
193,塩胡椒,g,"しおこしょう,塩コショウ,ｼｵｺｼｮｳ,シオコショウ",14
194,味噌,g,"赤味噌,みそ,白味噌,ﾐｿ,ミソ",14
195,豆板醤,g,"トウバンジャン,ﾄｳﾊﾞﾝｼﾞｬﾝ",14
196,コチュジャン,g,ｺﾁｭｼﾞｬﾝ,14
197,粒マスタード,g,"ﾏｽﾀｰﾄﾞ,からし",14
198,白だし,mL,しろだし,14
199,めんつゆ,mL,"麺つゆ,メンツユ,ﾒﾝﾂﾕ",14
200,だし汁,mL,出汁,14
201,和風だしの素,g,"顆粒和風だし,ほんだし,だしの素",14
202,鶏ガラスープの素,g,"鶏ガラ,鶏がらスープの素,鶏がらスープ,鶏がら,中華味,鶏ｶﾞﾗ",14
203,コンソメ,g,"顆粒コンソメ,チキンコンソメ,ｺﾝｿﾒ,顆粒",14
204,カレー粉,g,ｶﾚｰ,14
205,ポン酢,mL,味ぽん,14
206,レモン汁,mL,"レモン,ﾚﾓﾝ",14
207,中濃ソース,g,"ｿｰｽ,中濃",14
208,ウスターソース,g,ｳｽﾀｰｿｰｽ,14
209,オイスターソース,g,ｵｲｽﾀｰｿｰｽ,14
210,トマトケチャップ,g,ｹﾁｬｯﾌﾟ,14
211,マヨネーズ,g,ﾏﾖﾈｰｽﾞ,14
212,ナンプラー,mL,"魚醤,ﾅﾝﾌﾟﾗｰ",14
213,メープルシロップ,mL,ﾒｰﾌﾟﾙｼﾛｯﾌﾟ,14
214,はちみつ,g,"蜂蜜,ハチミツ,ﾊﾁﾐﾂ",14
215,片栗粉,g,"かたくり粉,かたくりこ,ｶﾀｸﾘｺ,カタクリコ",14
216,薄力粉,g,"小麦粉,コムギ",14
217,ベーキングパウダー,g,"重曹,ふくらし粉,ﾍﾞｰｷﾝｸﾞﾊﾟｳﾀﾞｰ",14
218,お好み焼き粉,g,"オコノミヤキ,たこ焼き",14
219,ホットケーキミックス,g,"HM,ﾎｯﾄｹｰｷﾐｯｸｽ",14
220,パン粉,g,"ぱん粉,ﾊﾟﾝ粉",14
221,バター,g,"ﾊﾞﾀｰ,無塩,有塩",14
222,サラダ油,mL,ｻﾗﾀﾞ油,14
223,オリーブオイル,mL,ｵﾘｰﾌﾞｵｲﾙ,14
224,ごま油,mL,"ゴマ油,ｺﾞﾏ油",14
225,カレールー,欠片,ｶﾚｰﾙｰ,14
